"","DATETIME","TSK","PSFC","U10","V10","Q2","TSLB","SMOIS","WIND_SPEED","Hour","DayNight","Date"
"1",2018-05-01,276.5,100218,3.5,-0.1,0.00437,279.1,0.3572125,3.5,"00","Nighttime",2018-04-30
"2",2018-05-02,277.9,100208,-0.4,5.5,0.00539,284.4,0.3384,5.51,"00","Nighttime",2018-05-01
"3",2018-05-03,275.2,100793,3.5,0.2,0.00463,279.8,0.3407,3.51,"00","Nighttime",2018-05-02
"4",2018-05-04,278.4,101541,2.9,1.5,0.00579,282.3,0.3304,3.26,"00","Nighttime",2018-05-03
"5",2018-05-05,276.8,101953,-1.4,1,0.00536,283.1,0.3244,1.72,"00","Nighttime",2018-05-04
"6",2018-05-06,276.9,101808,-1.8,-2.2,0.00527,282.9,0.3186,2.84,"00","Nighttime",2018-05-05
"7",2018-05-07,277.4,101383,-1.7,-0.8,0.00532,284.1,0.3136,1.88,"00","Nighttime",2018-05-06
"8",2018-05-08,277.6,100763,-1.2,0.9,0.00564,285,0.3082,1.5,"00","Nighttime",2018-05-07
"9",2018-05-09,282.2,100416,2.8,-1.5,0.00743,287.3,0.3087,3.18,"00","Nighttime",2018-05-08
"10",2018-05-10,280.2,100228,3.5,1.8,0.00644,285.9,0.3023,3.94,"00","Nighttime",2018-05-09
"11",2018-05-11,277.4,101325,1.9,2.3,0.00547,283.6,0.2997,2.98,"00","Nighttime",2018-05-10
"12",2018-05-12,280.5,100652,-0.8,3.2,0.00666,284.4,0.2952,3.3,"00","Nighttime",2018-05-11
"13",2018-05-13,280.6,100607,2.3,0.3,0.00657,284.3,0.322,2.32,"00","Nighttime",2018-05-12
"14",2018-05-14,279.7,101170,2.3,-2.6,0.00618,283.5,0.3223,3.47,"00","Nighttime",2018-05-13
"15",2018-05-15,279.5,101391,1.6,-3.3,0.00552,284.2,0.3107,3.67,"00","Nighttime",2018-05-14
"16",2018-05-16,280.3,101426,0.6,-3.1,0.0065,285.8,0.3048,3.16,"00","Nighttime",2018-05-15
"17",2018-05-17,277.2,102047,0.1,-4.3,0.00512,283,0.3008,4.3,"00","Nighttime",2018-05-16
"18",2018-05-18,274.3,102034,-0.7,-2.9,0.00436,286.85,0.2956,2.98,"00","Nighttime",2018-05-17
"19",2018-05-19,274.8,101835,-1.75,2.3,0.0048,282.2,0.2917,2.89,"00","Nighttime",2018-05-18
"20",2018-05-20,275.1,101768,-0.7,1,0.00492,282.6,0.288,1.22,"00","Nighttime",2018-05-19
"21",2018-05-21,277.6,101300,-3.15,-2.1,0.00583,283.1,0.2846,3.79,"00","Nighttime",2018-05-20
"22",2018-05-22,281.3,100732,1.1,-3.1,0.00713,285.5,0.2892,3.29,"00","Nighttime",2018-05-21
"23",2018-05-23,278.4,101422,1.1,-2.6,0.00593,285.4,0.2891,2.82,"00","Nighttime",2018-05-22
"24",2018-05-24,281.3,101481,-1.2,-3.6,0.00681,289.6,0.2808,3.79,"00","Nighttime",2018-05-23
"25",2018-05-25,282.3,101093,1,-2.8,0.00757,286.3,0.2824,2.97,"00","Nighttime",2018-05-24
"26",2018-05-26,283.5,101308,-1.9,-1.7,0.00845,287.1,0.2822,2.55,"00","Nighttime",2018-05-25
"27",2018-05-27,285.8,101096,-3.7,-2.6,0.0093,288.7,0.2756,4.52,"00","Nighttime",2018-05-26
"28",2018-05-28,284.7,101045,2.7,0.8,0.00876,289.4,0.2867,2.82,"00","Nighttime",2018-05-27
"29",2018-05-29,285.3,101180,-1,-3.5,0.00906,289.9,0.2961,3.64,"00","Nighttime",2018-05-28
"30",2018-05-30,287,100671,-0.8,-2.5,0.00908,289.1,0.2932,2.62,"00","Nighttime",2018-05-29
"31",2018-05-31,283.1,100831,-1.8,1.7,0.00829,288,0.2907,2.48,"00","Nighttime",2018-05-30
"32",2018-05-31 21:00:00,286.8,100896,-2.3,0.1,0.01017,292.1,0.3556,2.3,"21","Nighttime",2018-05-31
